Russian Cyrillic: Ь	ь<br>'<br>(Soft sign)
- А что именно она хочет?<br>- Она думает, что вы можете найти ей место, потому что вы здесь уже давно и хорошо знаете город.	- ¿Pero qué quiere exactamente?<br>- Piensa que Ud. puede encontrarle un lugar, porque Ud. está aquí desde hace ya tiempo y conoce bien la ciudad.
- Она инженер?<br>- Да, у неё есть французский диплом; она парижанка и свободно говорит по-французски и по-английски.	- ¿Es ingeniera?<br>- Sí, tiene un diploma francés; es parisina y habla fluidamente ("libremente") francés e inglés.
- Сколько ей лет?<br>- Ей двадцать пять лет.	- ¿Cuántos años tiene?<br>- Tiene 25 años.
- А кто ещё может её рекомендовать?<br>- Здесь её ещё никто не знает.	- ¿Y quién más ("todavía") puede recomendarla?<br>- Aquí no la conoce nadie todavía.
Мне ещё трудно учить русский язык.	Me es todavía difícil aprender la lengua rusa.
- Почему трудно? Вы ведь не учите каждый урок наизусть?<br>- Нет, но я часто забываю, что значит то или другое слово.	- ¿Por qué es difícil? ¿Ud. sin embargo no aprende cada lección de memoria?<br>- No, pero a menudo olvido qué quiere decir esta o la otra palabra.
Это нормально; говорят, что надо сначала семь раз забыть одно слово, чтобы потом хорошо его знать.	Es normal; dicen que hay que olvidar primero siete veces una palabra para después conocerla bien.
- Я повторяю каждый урок пять или шесть раз, и мне кажется, что я начинаю свободно читать.<br>- Молодец! Так и надо делать! Надо всё бремя повторять ещё и ещё.	- Yo repito cada lección 5 ó 6 veces, y me parece que comienzo a leer fluidamente.<br>- ¡Bravo! ¡Así hay que hacer! Hay que repetir una y otra vez todo el tiempo.
Учитъ русский язык трудно, но выучить его всё-таки можно.	Sí, aprender el ruso es difícil, pero de todos modos es posible llegar a aprenderlo.
На чём едут они?<br>	¿En qué (vehículo) van?
- На чём они едут?<br>- Они едут на машине.	- ¿En qué van?<br>- Van en coche.
- Куда идёт Нина?<br>- Она идёт домой.	- ¿Adónde va Nina?<br>- Va a casa.
Сейчас они смотрят телевизор а я смотрю в окно.	Ahora ellos ven televisión y yo miro por la ventana.
Вот наша улица.<br>Едут машины, идут люди.	He aquí nuestra calle.<br>Pasan coches, camina la gente.
Сейчас час.<br>Сейчас два часа.<br>Сейчас пять часов.<br>Сейчас двенадцать часов.<br>	Es la una.<br>Son las dos.<br>Son las cinco.<br>Son las doce.
Который сейчас час?<br>Сколько времени?	¿Qué hora es?
- Как дела, Коля?<br>- Плохо, Миша. У меня плохое настроение.	- ¿Cómo te va, Kolia?<br>- Mal, Misha. Estoy de ("tengo") mal ánimo.
- В чём дело? Может быть, я могу вам помочь?<br>- Вряд ли. Дело в том, что Лида давно не пишет. Вот уже целый месяц. Не могу понять, в чём дело.	- ¿De qué se trata? Quizás pueda ayudarlo.<br>- Es poco probable. Se trata de que Lida hace mucho que no escribe. Ya hace un mes entero. No puedo comprender de qué se trata.
- А вы ей пишете?<br>- Нет, не пишу. Дело в том, что не знаю её адреса.<br>- Да, это трудиый случай.	- ¿Y Ud. le escribe?<br>- No, no escribo. Es que no sé su dirección.<br>- Sí, es un caso difícil.
- А вот как раз почтальон. И вам письмо.<br>- Да, это письмо от неё, от Лиды.	- Pero justamente aquí está el cartero. Y una carta para Ud.<br>- Sí, es una carta de ella, de Lida.
- Что она пишет?<br>- Она пишет, что она меня любит и скоро будет дома.<br>- Как я рад!	- ¿Qué escribe ella?<br>- Escribe que me quiere y que pronto estará en casa.<br>- ¡Cómo me alegro!
Вы можете написать мне письмо?	¿Puede Ud. escribirme una carta?
- Вы не думаете, что пора обедать? Мне очень хочется есть.	- ¿No cree que es hora de almorzar? Tengo muchas ganas (de comer).
- Что касается меня, я совсем не голоден, но сегодна жаркая погода, и мне всё врема хочется пить.	- En lo que a mí respecta, no tengo nada de hambre, pero hoy hace calor y tengo ganas de beber todo el tiempo.
- Что вы пьёте? Вот лимонад, вот квас; если хотите, есть даже водка и закуски.	- ¿Qué bebe Ud.? Aquí tiene limonada, aquí kvas; si quiere, hay hasta vodka y entremeses.
- Спасибо, я сажусь за стол. Мне скоро нужно идти на работу.	- Gracias, me siento a ("tras") la mesa. Debo irme pronto al trabajo.
Мой шеф нетерпеливый человек и не лювит ждать.	Mi jefe es un hombre impaciente y no le gusta esperar.
Всё готово. Дабайте обенать.	Está todo listo. Almorcemos.
- Скоро лето; уже очень жарко; пора совираться на дачу.<br>- Да, наша дача ждёт нас.	- Pronto (será) verano; hace ya mucho calor; es hora de prepararse para ir a la dacha.<br>- Sí, nuestra dacha nos espera.
Деревна сейчас хороша и красива; всюду зелень и цветы.	Ahora el campo es bueno y hermoso; en todas partes vegetación y flores.
Я так рада, когда думаю, что скоро буду там.	Estoy tan contenta cuando pienso que pronтo estaré allá.
Спокойная деревня, чистый воздух, лес, где можно гулять. Я очень лювлю всё это.	El campo tranquilo, el aire puro, el bosque, donde se puede pasear. Me gusta mucho todo eso.
Когда я живу там, я забываю город и городской шум.	Cuando vivo allí, olvido la ciudad y el ruido de la ciudad.
Но вы помните, что мы вас ждём и что дла вас всегда есть место.	Pero recuerde que lo esperamos y que hay siempre sitio para Ud.
- Конечно, помню, но, как вы знаете, я вуду занят весь июль.<br>- Жаль, но мы всегда рады вас видеть.	- Desde luego, lo recuerdo, pero, como sabe, estaré ocupado todo juliol<br>- Lástima, pero estamos siempre contentos de verlo.
Вы видите, какой Саша сегодна грустный.	Ud. ve cómo de triste está Sasha hoy.
Да, я вижу, что он не играет на рояле, не поёт. В чём дело?	Sí, veo que no toca el piano, no canta. ¿De qué se trata?
Может быть, дело в том, что его жена не любит, когда он играет и поёт.	Puede ser que se trate de que a su mujer no le gusta, cuando toca y canta.
- Вы хотите сказать, она не понимает, что её муж артист.	- Quiere Ud. decir que ella no comprende que su marido es un artista.
- Я думаю, она не понимает, что у него талант. Ей всё равно. Петь, играть, для неё то же самое, что не работать, всё время отдыхать.	- Creo que no comprende que tiene talento. Le da totalmente igual. Cantar, tocar, para ella es lo mismo que no trabajar, descansar todo el tiempo.
- Хочешь петь со мной, дорогая? - спрашивает её Саша.<br>- Мне некогда! - грубо отвечает она.	- ¿Quieres cantar conmigo, querida? - le pregunta Sasha.<br>- ¡No tengo tiempo! - responde ella groseramente.
Я работаю целый день, а ты всё время отдихаешь.	Yo trabajo el día entero y tú descansas todo el tiempo.
- Белный Саша! Вель для него это тоже работа, а не отдых, не так ли?<br>- Согласен с вами. Нужно ему помочь. Но как?	- ¡Pobre Sasha! Es que para él es también un trabajo, y no descanso, ¿no es así?<br>- Estoy de acuerdo con Ud. Hay que ayudarlo. ¿Pero cómo?
Делайте, что хотите - мне всё равно.	Haced lo que queráis, me da igual.
Мне нужна какая-нибудь игрушка.<br>Мне нужен какой-нибудь человек.<br>Мне нужно какое-нибудь слобо.<br>	Necesito un juguete cualquiera.<br>Necesito un hombre cualquiera.<br>Necesito una palabra cualquiera.
- Сколько лет вашему ребёнку?<br>- Ему шесть лет.	- ¿Cuántos años tiene su niño?<br>- Tiene seis años.
Игрушки у нас винзу; вот там...	Tenemos los juguetes abajo; ahí están... ("he aquí allí")
Эта игрушка хорошая, но это не то, что я хочу... вот эта лучше.	Este juguete es bueno, pero no es lo que busco... este de aquí es mejor.
- Сколько она стоит?<br>- Девять рублей.<br>- Жаль, это для меня слишком дорого. Я ищу дешёвый подарок.	- ¿Cuánto cuenta este?<br>- Nueve rublos.<br>- Lástima, es demasiado caro. Busco un regalo barato.
- Вот красивая кукла и цена невольшая: пятъ рувлей.	- Aquí hay una bonita muñeca y el precio no es grande: 5 rublos.
- Покажите, пожалуйста... Да, эта кукла мне нравитса. Конечно, тоже дорого. Ну, ладно, беру.	Muéstreme, por favor... Sí, esta muñeca me gusta. Por supuesto, también caro. Bueno, la tomo.
- Что это вы гуляете без пальто! Неужели вам не холодно?<br>- Немного холодно, но ничего. Пальто у меня не готово, оно вудет готово завтра.	- ¡Cómo se pasea Ud. sin abrigo! ¿De verdad no tiene frío?<br>- Un poco de frío, pero no es nada. Mi abrigo no está listo, estará listo mañana.
- Нельзя без пальто; уже мороз. Вы можете простудиться.<br>- Не беспокойтесь, у меня тёплый свитер.	- No puede ir sin abrigo; ya hay hielo. Puede resfriarse.<br>- No se preocupe, tengo un suéter caliente.
- Свитер не пальто, уже пора шубу надевать.<br>- Я вижу, у вас великолепная шуба.	- Un suéter no es un abrigo. Ya es hora de ponerse la pelliza.<br>- Ya veo, tiene Ud. una pelliza magnífica.
- Шуба эта уже старая, у меня скоро будет новая.<br>	- Esta pelliza ya está vieja, pronto tendré una nueva.
- А вы знаете, не сегодна - завтра будет первый снег.<br>- Да, вы правы: скоро будет снег.	- Pero, sabe, de un día a otro habrá la primera nevada.<br>- Sí, tiene razón, pronto habrá nieve.
Завтра мне надо выть в Ленинграде.	Mañana debo estar en Leningrado.
Я думаю, это не проблема. Самолёт летит из Москвы в Ленинград всего один час.	Creo que no es problema. El avión vuela de Moscú a Leningrado en solo una hora.
- Кстати, у вас уже ест билет?<br>- Нет, у меня ещё нет билета. Я как раз собираюсь идти в кассу и купить там билет.	- A propósito, ¿Ya tiene billete?<br>- No todavía no tengo billete. Justamente tengo intención de ir a la caja y comprar allí el billete.
- Зачем идти в кассу, если можно позвонить туда по телефону.<br>- Это хорошая идея..<br>	- Por qué ir a la caja si se puede telefonear.<br>- Es una buena idea...
- Алло! это касса? Мне нужен один билет в Ленинград, на забтра утром.	- ¡Aló! ¿es la caja? necesito un billlete a Leningrado, para mañana por la mañana.
Когда летит самолёт? В девять? Это удовно.<br>Какое место? Семнадшатое? Хорошо! Сколько стоит билет? Тринадцать рублей? Прекрасно!	¿Cuándo sale el avión? ¿A las nueve? ¡Es cómodo! ¿Qué sitio? El 17? ¡Bien! ¿Cuánto cuesta el billete? ¿Trece rublos? ¡Magnífico!
Ну, вот, билет, можно сказать, у меня есть.<br>Теперь надо собрать вещи.	Bueno, ya está, puede decirse que tengo el billete.<br>Ahora tengo que recoger mis cosas.
- Какой красивый мальчик! Чей это ребёнок, Нина Петровна?<br>- Странный вопрос. Неужем вы не знаете? Это мой сын.	- ¡Qué hermoso muchacho! ¿De quién es este niño, Nina Petrovna?<br>- Extraña pregunta. ¿De verdad no lo sabe? Es mi hijo.
Виноват, мне очень стыдно, но мы так редко с вами встречаемся.	Lo siento ("culpable"), me da mucha vergüenza, pero nos vemos tan raramente.
Вот уже пять лет, как я путешествую по Европе, живу то в Париже, то в Лондоне.	Hace cinco años que viajo por Europa, vivo a veces en París, a veces en Londres.
А мы пока всё здесь живём и никуда не ездим.	Y nosotros mientras tanto seguimos viviendo aquí y no vamos a ninguna parte.
Скажите, пожалуйста... Ведь у вас, кажется, есть ещё дочь?	Díga, por favor, veamos, Ud. tiene, me parece, también una hija.
Да, ей уже шесть лет. Ей пора в школу.	Sí, ya tiene seis años. Es hora de que vaya a la escuela.
Дети почти всё врема живут в городе. К счастью, дядя живёт в деревне и часто их приглашает; они очень его любят.	Los niños viven casi todo el tiempo en la ciudad. Por fortuna, su tío vive en el campo y los invita a menudo; les gusta mucho.
Уже девять часов! Извините, Нина Петровна, мне пора идти.	¡Ya son las nueve! Perdone, Nina Petrovna, es hora de irme.
Какая приятная встреча! Сколько лет я вас не видел!	¡Qué agradable encuentro!<br>¡Cuántos años que no lo he visto!
Я тоже очень рад вас видеть. Я как раз думал о вас сегодна утром.	Yo también estoy contento de verlo. Justamente esta mañana pensé en Ud.
Но, к сожалению, у меня нет вашего адреса и я не помню, где вы живёте.	Pero, por desgracia, no tengo su dirección y no recuerdo dónde vive Ud.
Это очень просто... Я живу недалеко от вас: Пушкинский булвар, дом шестнадцать.	Es muy simple... Vivo no lejos de Ud.: Bulevár de Pushkin, número 16.
Спасибо. Теперь я не забуду ваш адрес.	Gracias. Ahora no olvidaré su dirección.
- На этом бульваре, кажется, только новые дома?<br>- Не все. Дом, где мы живём, - новый. Он построен два года тому назад.	- En ese bulevár, me parece, ¿hay solo casas nuevas?<br>- No todas. La casa donde vivimos es nueva. (Fue) construida dos años (de eso) atrás.
- Какая у вас квартира? Сколько комнат?<br>- Нижний этаж... Маленькая передняя, столовая, большая спальня.	- ¿Cómo es su apartamento? ¿Cuántas habitaciones?<br>- Piso inferior ... Un pequeño recibidor, comedor, un dormitorio grande.
- Ванная комната тоже естъ?<br>- Да, естъ ванная и маленькая кухня.	- ¿Hay también un cuarto de baño?<br>- Sí, hay un baño y una pequeña cocina.
Ну, что ж, всё как следует. Извините, я тороплюсь, до свидания.	Bueno, entonces, todo está como corresponde. Disculpe, tengo prisa, hasta la vista.
- У вас есть деньги?<br>- У меня есть рубли, доллары, франки.. Что вас интересует?	- ¿Tiene Ud. dinero?<br>- Tengo rublos, dólares, francos.. ¿Qué le interesa?
Мой товарищ коллекционирует монеты. Что можете показать нам?	Mi camarada colecciona monedas. ¿Qué puede mostrarnos?
Маленькая монета - это копейка. Вы уже можете купить спички.	La moneda pequeña es un kopek. Ya puede Ud. comprar cerillas.
Вот две копейки. Вы можете купить газету или позвонить по телефону.	He aquí dos kopeks. Puede comprar el periódico o llamar por teléfono.
А вот пять копеек. Вы можете купить билет в метро или на автобус.	Y aquí hay cinco kopeks. Puede comprar un billete de metro o de autobús.
- Сколько у вас денег?<br>- Сто рублей.	- ¿Cuánto dinero tiene?<br>- Cien rublos.
- По-русски говорят: - Не имей сто рублей, а имей сто друзей.<br>- Это правильно: лучше иметь сто друзей, чем сто рублей.	- En ruso se dice: - No tengas cien rublos, ten cien amigos.<br>- Es cierto: mejor tener cien amigos que cien rublos.
Как медленно едет такси! В котором часу идёт поезд в Москву?	¡Qué lento va el taxi! ¿A qué hora sale el tren a Moscú?
Я уверен, что мы опоздали. Уже пять часов!	Estoy seguro de que vamos retrasados. ¡Ya son las cinco!
Это ничего, Боря; есть другой поезд в шесть часов.	No importa, Borya; hay otro tren a las seis.
Ты сам виноват: нельза так долго собирать вещи.	Tú mismo tienes la culpa: no se puede hace el equipaje ("recoger cosas") tanto tiempo.
Мы ничего не забыли? Бот мой чемодан, вот твоя сумка, мой портфель... Где твой билет?	¿No hemos olvidado nada? Aquí está mi maleta, tu bolso, mi maletín... ¿Dónde está tu billete?
Билет здесь; всё в порякде.	Aquí está el billete; todo en orden
Теперь нам остаётся ждать ещё полчаса.	Ahora nos queda esperar todavía media hora.
Ты хочешь есть или пить, Нина?	¿Quieres comer o beber, Nina?
У нас есть время. Мы можем пойти в буфет или в ресторан.	Tenemos tiempo. Podemos ir al bufé o as restaurante.
С удовольствием; мне очень хочется пить.	Con gusto; tengo muchas ganas de beber.
Мы можем купить всё, что ты хочешь.	Podemos comprar todo lo que quieras.
Они ждут нас на вокзале.	Nos esperan en la estación.
- Вы женаты или свободны?<br>- Я замужем.	- ¿Es Ud. casada o soltera?<br>- Estoy casada.
- Как давно Вы замужем?<br>- Уже восемь лет.	- ¿Cuánto tiempo lleva casada?<br>- Siete años ya.
- Вы живёте с родителями?<br>- Нет, мы живём отдельно.	- ¿Viven Uds. con sus padres?<br>- No, vivimos aparte.
- Сколько человек в Вашей семье?<br>- Четыре. Я, муж и двое детей.	- ¿Cuántas personas hay en su familia?<br>- Cuatro. Yo, mi marido y dos niños.
Всё хорошо, что хорошо кончается.	Está bien lo que acaba bien.
Я чувствую себя плохо.	Me siento mal.
- Как зовут Вашего мужа?<br>- Его зовут Руслан.	- ¿Cómo se llama su marido?<br>- Se llama Ruslan.
- Кем он работает?<br>- Он врач.	- ¿De qué trabaja?<br>- Es médico.
- Как зовут Ваших детей?<br>- Нашего сына зовут Саша, а дочь Настя.	- ¿Cómo se llaman sus hijos?<br>- Nuestro hijo se llama Sasha, y la hija Nastya.
- Сколько им лет?<br>- Саше три года, а Насте семь лет.	- ¿Cuántos años tienen?<br>- Sasha tiene tres años, y Nastya siete.
- Как зовут Вашего папу? И сколько ему лет?<br>- Его зовут Александр, ему пятьдесят лет.	- ¿Cómo se llama su padre? ¿Y cuántos años tiene?<br>- Se llama Aleksandr, tiene cincuenta años.
- Как зовут Вашу маму? И сколько лет ей?<br>- Маму зовут Татьяна, ей сорок пять лет.	- ¿Cómo se llama su madre? ¿Y cuántos años tiene?<br>- Mi madre se llama Tatyana, tiene cuarenta y cinco años.
- У вас есть брат или сестра?<br>- У меня есть брат Алексей.	- ¿Tiene hermanos o hermanas?<br>- Tengo un hermano, Aleksey.
- Ваш брат учится или работает?<br>- Он ещё учится, он студент.	- ¿Su hermano estudia o trabaja?<br>- Todavía estudia, es estudiante.
- У Вас есть тётя или дядя?<br>- У меня есть тётя и два дядя.<br>- Где они живут?<br>- Они живут в деревне.	- ¿Tiene tías o tíos?<br>- Tengo una tía y dos tíos.<br>- ¿Donde viven?<br>- Viven en el campo.
- Где живут Вашй бабушка и дедушка?<br>- Они тоже живут в деревне.<br>- Сколько им лет?<br>- Им по семьдесят лет.	- ¿Dónde viven su abuela y abuelo?<br>- También viven en el campo.<br>- ¿Cuántos años tienen?<br>- Ambos tienen setenta años.<br>
Всем известно, что город Свердловск находится на Урале.	Es sabido de todos, que la ciudad de Sverdlosk se encuentra en los Urales.
Все знают, что из Свердловска во Владивосток надо ехать на восток, а в Москву на запад.	Todos saben que de Sverdlosk a Vladivostok hay que ir hacia el este, y a Moscú hacia el oeste.
Но бывает и так...	Pero sucede así...
Окнажды в Свердловске две старушки сели в поезд.	Un día en Sverdlovsk dos ancianas tomaron ("se sentaron en") el tren.
В вагоне они сидели и разговаривали.	En el vagón estaban sentadas y conversaban.
- Куда вы едете? - спросила одна.<br>- В Москву, у меня там сын.	- ¿Adónde va Ud.? - preguntó una.<br>- A Moscú, tengo un hijo allí.
А я - во Владивосток, у меня там дочь.	Y yo a Vladivostok, tengo una hija allí.
Смортрите, какая теперь замечательная техника, - сказала первая старушка.	Mire qué técnica tan maravillosa (hay) ahora - dice la primera anciana.
Мы сидим в одном вагоне, а едем в разные стороны!	¡Estamos sentadas en el mismo vagón y vamos a distintos lados!
Пусть всегда будет солнце!	¡Que sea siempre el sol!
- У вас есть двоюродные братья или сёстры?<br>- У меня есть двоюродная сестра Ольга.	- ¿Tiene primos o primas?<br>- Tengo una prima, Olga.
- У вас племянники?<br>- У меня нет племянников и племянниц.	- ¿Tiene sobrinos?<br>- No tengo sobrinos ni sobrinas.
- Ваш друг Евгений женат или свободен?<br>- Он женат во второй раз.	- ¿Su amigo Yevgeniy está casado o soltero?<br>- Está casado por segunda vez.
- Давно ли он женат?<br>- Он женат всего два месяца.	- ¿Hace mucho que está casado?<br>- Lleva casado dos meses.
- Как зовут его жену?<br>- Её зовут Ирина.<br>- Сколько ей лет?<br>- Ирине двадцать восемь лет.	- ¿Cómo se llama su mujer?<br>- Se llama Irina.<br>- ¿Cuántos años tiene?<br>- Irina tiene 28 años.
- Кем она работает?<br>- Она художница.	- ¿De qué trabaja?<br>- Es artista.
- У них уже есть дети?<br>- Нет, еще нет. Но у него есть сын от первого брака.	- ¿Ya tienen hijos?<br>- No, todavía no. Pero él tiene un hijo de su primer matrimonio.
- Где живут родители Евгення?<br>- Они живут недалеко от него, на соседней улице.	- ¿Dónde viven los padres de Yevgeniy?<br>- Viven no lejos de él, en la calle de al lado.
- Дедушка и бабушка Евгения живут отдельно от него?<br>- Да, они живут с его родителями.	- ¿El abuelo y la abuela de Yevgeniy viven separados de él?<br>- Sí, viven con sus padres.
Я люблю смотреть пьесы в театре, но я обычно смотрю фильмы дома.	Me gusta ver obras en el teatro, pero normalmente veo películas en casa.
- У Вас дом или квартира?<br>- У меня квартира.	- ¿Tiene casa o apartamento?<br>- Tengo una casa.
- Сколько в доме этажей?<br>- В доме девять этажей.	- ¿Cuántos pisos hay en la casa?<br>- En la casa hay nueve pisos.
- Сколько в квартире комнат?<br>- В квартире две комнаты.	- ¿Cuántas habitaciones hay en el apartamento?<br>- En el apartamento hay dos habitaciones.
- На каком этаже Ваша квартира?<br>- Моя квартира на втором этаже, а на первом находятся магазины.	- ¿En qué piso está su apartamento?<br>- Mi apartamento está en el segundo piso, en el primero (planta baja) hay tiendas.
- Туалет и ванная у Вас совместные или раздельные?<br>- Туалет и ванная совместные.	- ¿Tiene wáter y baño juntos o separados?<br>- El wáter y el baño están juntos.
- Есть ли у Вас дома балкон?<br>- Да, у меня два балкона. Один на кухне, другой в зале.	- ¿Hay un balcón en su casa?<br>- Sí, tengo dos balcones. Uno está en la cocina, el otro en el salón.
- В Вашем доме есть лифт?<br>- Да, есть.	- ¿Hay ascensor en su casa?<br>- Sí, hay uno.
- Какой у Вас коридор?<br>- Коридор широкий и длинный.	- ¿Cómo es su pasillo?<br>- Mi pasillo es ancho y largo.
- У Вас дома есть детская комната?<br>- Нет, но скоро будет.	- ¿Tiene una habitación para niños en casa?<br>- No, pero pronto habrá una.
- Кухня у Вас большая или маленькая?<br>- Моя кухня большая.	- ¿Tiene una cocina grande o pequeña?<br>- Mi cocina es grande.
- Сколько Вы платите за жильё в месяц?<br>- За квартиру я плачу около шестисот рублей в месяц.	- ¿Cuánto paga de alquiler al mes?<br>- Por el apartamento pago unos seiscientos rublos de alquiler al mes.
- Евгений живёт в квартире или в своём доме?<br>- Евгений живёт в своём доме.	- ¿Yegveny vive en un apartamento o en su propia casa?<br>- Yegveny vive en su propia casa.
- Сколько этажей в его доме?<br>- Его дом двухэтажный.	- ¿Cuántos pisos tiene su casa?<br>- Su casa es de dos pisos.
- Что находится на первом этаже?<br>- На первом этаже находится кухня, ванная, туалет, гостиная и две спальни.	- ¿Qué hay en la planta baja?<br>- En la planta baja hay una cocina, un baño, un servicio, un salón y dos dormitorios.
- А что находится на втором этаже?<br>- На втором этаже находится детскаа, кабинет, спортзал и бильярдная.	- ¿Y qué hay en el segundo piso?<br>- Hay una habitación para niños, una oficina, un gimnasio y un billar.
На выхокных мы с мужем ходим в кафе или в гости к друзьям.	Los fines de semana mi marido y yo vamos a una cafetería o de visita a casa de amigos.
- Во сколько Вы просыпаетесь?<br>- Обычно в шесть утра.	- ¿A qué hora se levanta Ud.?<br>- Normalmente a las seis de la mañana.
- Что Вы потом делаете?<br>- А иду в ванную. Там я умываюсь, чищу зубы и расчёсываю волосы.	- ¿Qué hace Ud. después?<br>- Voy al baño. Allí me lavo, me cepillo los dientes y me peino.
- Когда Вы завтракаете?<br>- Сразу после ванной.	- ¿Cuándo desayuna?<br>- Justo después de lavarme.
- Сколько времени длится Ваш завтрак?<br>- Мой завтрак длится примерно двадцать минут.	- ¿Cuánto tiempo dura su desayuno?<br>- Mi desayuno dura aproximadamente veinte minutos.
- До которого часа Вы работаете?<br>- С восьми и до пяти.	- ¿Hasta qué hora trabaja Ud.?<br>- De ocho a cinco.
- Вы идёте на работу сразу после завтрака или нет?<br>- Да, сразу бегу на работу.	- ¿Va al trabajo directamente después del desayuno o no?<br>- Sí, me apresuro en seguida al trabajo.
- Во сколько Вы выходите из дома на работу?<br>- Я выхожу из дома в семь часов двадцать минут.	- ¿A qué hora sale Ud. de casa para el trabajo?<br>- Salgo de casa a las siete y veinte.
- Во сколько Вы приходите на работу?<br>- Я прихожу на работу в семь часов сорок пять минут.	- ¿A qué hora llega al trabajo?<br>- Llego al trabajo a las siete cuarenta y cinco.
- Когда у Вас обеденный перерыв?<br>- Мой обеденный перерыв начинается  в час дня и заканчивается в час сорок пять.	- ¿A qué hora tiene Ud. el descanso del almuerzo?<br>- Mi descanso para el almuerzo comienza a la una y termina a la una cuarenta y cinco.
- Во сколько Вы возвращаетесь с работы домой?<br>- Я прихожу с работы в шесть часов вечера.	- ¿A qué hora regresa a casa del trabajo?<br>- Llego del trabajo a las seis de la tarde.
- Что Вы делаете после работы?<br>- Иду в магазин за продуктами, а потом сразу домой.	- ¿Qué hace después del trabajo?<br>- Voy a la tienda por productos, y después directamente a casa.
- Во сколько Вы ужинаете?<br>- Примерно в семь часов вечера.	- ¿A qué hora cena Ud.?<br>- Aproximadamente a las siete de la tarde.
- Где Вы обычно ужинаете?<br>- Дома, иногда ходим в ресторан.	- ¿Dónde suele cenar?<br>- En casa, a veces vamos al restaurán.
- Как долго длится Ваш ужин?<br>- Примерно полчаса.	- ¿Cuánto dura su cena?<br>- Media hora más o menos.
- Что Вы делаете после ужина?<br>- Люблю посмотреть телевизор.	- ¿Qué hace después de la cena?<br>- Me gusta ver la televisión.
- Вы на ночь чистите зубы?<br>- Всегда.	- ¿Se cepilla los dientes por la noche?<br>- Siempre.
- Во сколько Вы ложитесь спать?<br>- Обычно в одннадцать часов я уже сплю.	- ¿A qué hora se acuesta Ud.?<br>- Normalmente a las once ya estoy durmiendo.
- Во сколько Евгений просыпается утром?<br>- Он встаёт в семь часов тридцать минут.	- ¿A qué hora se despierta Evgeny por la mañana?<br>- Se levanta a las siete treinta.
- Делает ли он зарядку?<br>- Он делает зарядку каждое утро.	- ¿Hace ejercicio?<br>- Hace ejercicio cada día.
- Как долго он делает зарядку?<br>- Около полчаса.	- ¿Cuánto tiempo hace ejercicio?<br>- Cerca de media hora.
- Что Евгений делает после зарядки?<br>- Он идёт в ванную чистить зубы, умываться и бриться.	- ¿Qué hace Evgeny delpués del ejercicio?<br>- Va al baño a cepillarse los dientes, lavarse y afeitarse. 
- Когда он завтракает?<br>- Обычно он не завтракает. Пьёт только кофе.	- ¿Cuándo desayuna?<br>- No suele desayunar. Solo bebe café.
- До которого часа он работает?<br>- Он работает с десяти утра и до шести вечера.	- ¿Hasta qué hora trabaja?<br>- Trabaja desde las diez de la mañana hasta las seis de la tarde.
- Во сколько Евгений выходит из дома на работу?<br>- Он выходит на работу примерно в дебять часов тридцать минут.	- ¿A qué hora sale Yevgeny de casa para el trabajo?<br>- Sale para el trabajo hacia las diez y treinta.
- Когда у него начинается обеденный перерыв?<br>- Перерыв у него начинается в два часа дня, и заканчивается в два часа сорок пять минут.	- ¿A qué hora comienza el descanso para el almuerzo?<br>- Su descanso para el almuerzo comienza a las dos y temina a las dos cuarenta y cinco.
- Во сколько Евгений возвращается домой?<br>- Приходит Евгений домой примерно в семь часов вечера.	- ¿A qué hora regresa Yevgeny a casa?<br>- Yevgeny llega a casa hacia las siete de la tarde.
- В котором часу он ужинает со своей семьёй?<br>- Примерно около восьми часов вечера.	- ¿A qué hora cena con su familia?<br>- Hacia las ocho de la tarde.
- Сколько времени занимает ужин?<br>- Это занимает у них полчаса.	- ¿Cuánto tiempo lleva la cena?<br>- Les lleva media hora.
- Чем обычно занимается Евчений после ужина?<br>- После ужина Евгений любит поиграть на компьютере.	- ¿Qué hace Yevgeny después de la cena?<br>- Después la cena a Yevgeny le gusta jugar en la computadora.
- Во сколько Евгений ложится спать?<br>- Около двенадцати часов ночи.	- ¿A qué hora se acuesta Yevgeny?<br>- Cerca de las doce de la noche.
Евчений встаёт раньше, чем я.	Evgeny se levanta antes que yo.<br>
Эта программа более/менее интересная, чем та.	Este programa es más/menos interesante que ese.
Самое/наименее хорошее кафе нашего города находится на ул. Пушкина.	La mejor/(menos buena) cafetería de nuestra ciudad se encuentra en la calle Pushkin.
Лена наиболее/наименее умная ученица нашего класса.	Lena es la estudiante más/menos inteligente de la  clase.
Я здесь. Иди сюда.<br>Она там. Иди туда.<br>Он дома. Иди домой.	Estoy aquí. Ven acá.<br>Estoy ahí. Ve allá.<br>Está en casa. Ve a casa.
Они внизу. Идите вниз.<br>Мы наверху. Идите наверх.<br>Я сзади. Иди назад.	Están debajo. Id abajo.<br>Estamos encima. Id arriba.<br>Estamos detrás. Ve atrás.
Доврый день.	Buenos días.
Доброе утро.	Buenos días.
Добрый вечер.	Buenas tardes.
Спокойной ночи.	Buenas noches.
Здравствуйте!	¡Hola!
До свидания!<br>Пока!	¡Adiós!<br>¡Hasta luego!
Я хочу видеть господина Чернышёва.<br>Я хочу видеть госпожу попову.	Quiero ver al señor Chernyshev.<br>Quiero ver a la señora Popov.
