Добрый день!	¡Buenos días!
- А теперь она больше не будет меня заставлять мыть посуду.<br>- А между прочим, не купить ли мне самый дорогой сервиз?	- Es que a partir de ahora ("más") ya no me va a obligar a fregar los platos.<br>- Es verdad, ¿por qué no le compro yo el servicio de mesa más caro?
- Прикрасная идея! Вот видишь, как всё просто решается.<br>- Недаром говорят, один ум хорошо, а два лучше.	- ¡Muy buena idea! Ya ves lo fácilmente que se resuelve todo.<br>- No sin razón dicen que dos cabezas son mejor que una.
- У вас нет таблетки от головы?<br>- Вот, пожалуйста, аспирин. А что случилось?	- ¿No tendrá pastillas para (el dolor de) cabeza?<br>- Tenga una aspirina. Pero ¿qué le ha pasado?
- Наверное, я очень устала, поздно легла, плохо спала.<br>- Может быть, у вас температура? Ну, конечно же, лоб горячий и совсем больные глаза.	- Posiblemente estoy muy cansada, me he acostado tarde, he dormido mal.<br>- Puede ser. Desde luego, tiene la frente ardiente y los ojos totalmente enfermos.
- Наверное, я простудилась.<br>- Вам нужно срочно обратиться к врагу.	- Posiblemente me he resfriado.<br>- Tiene que ver al médico sin demora.
- Нет, лучше я пойду домой, посплю, отдохну, а завтра буду как огурчик.<br>- А может, вам дать адрес хорошего врача? Он вылечил мою хену за несколько минут.	- No, mejor iré a casa, dormiré un buen rato y mañana estaré como nueva ("como un pepinillo").<br>- ¿Quiere que le dé la dirección de un buen médico? Curó a mi mujer en pocos minutos.
- Да? Каким образом?<br>- Он сказал ей, что её болезни - ето симптом старости.	- ¿Sí? ¿De qué manera?<br>- Le dijo que sus enfermedades eran síntoma de vejez.
- Ах! Вы всегда шутите. А впрочем, мне стало лучше.<br>- Вот видите, смех лечит все болезни.	- ¡Ah! Ud. siempre bromea. Pero por otra parte, comienzo a sentirme mejor.<br>- Ya ve, la risa cura todas las enfermedades.
- Чем вы занимаетесь в свободчое бремя?<br>- К сожаленю, в последнее время у меня нет минуты свободного времени. А вы?	- ¿A qué se dedica en su tiempo libre?<br>- Por desgracia, últimamente no tengo ni un minuto libre. ¿Y Ud.?
- Я увлекаюсь спортом и музыкой. Музыка - моя слабость.<br>- А я уже сто лет не был в театре. Каждый вечер работаю над докладом.	- Yo me dedico al deporte y a la música. La música es mi debilidad.<br>- Pues yo hace un siglo que no he ido al teatro. Todas las noches trabajo en mi tesis.
- И конечно же, плохо засыпаете?<br>- Нет, засыпаю нормально, у меня есть прекрасное средство.	- Y, claro está, duerme mal.<br>- No, duermo normal, tengo un método eficaz.
- Наверное, вы перед сном гуляете?<br>- Нет, что вы! Мне некогда, да и лень выходить на улицу.	- ¿Tal vez pasea antes de dormir?<br>- No, qué va. No tengo tiempo, además me da pereza salir a la calle.
- Неужели вы пьёете снотворное?<br>- Не в коем случае! Я перед сном читаю свой доклад.	- Pero no toma somníferos, ¿verdad?<br>- De ninguna manera! Antes de dormir leo mi tesis.
- Как вы севя чувствуете?<br>- Как вам сказать, доктор, в лоследнее время, не очень.	- ¿Cómo se siente Ud.?<br>- Cómo decirle, doctor, últimamente no muy bien.
- А что вас беспокоит?<br>- Усталость по вечерам и слабость по утрам.	- ¿Y qué le preocupa?<br>- El cansancio por las noches y la debilidad por las mañana.
- Вы много работаете?<br>- Как всегда, иногда много, иногда не очень.	- ¿Trabaja Ud. mucho?<br>- Como siempre, a veces mucho, otras no tanto.
- Вы курите? Пьёте?<br>- Нет, не курю, недавно бросил. А пью только по праздикам.	- ¿Ud. fuma? ¿Bebe?<br>- No, no fumo, hace poco lo he dejado. Y solo bebo los días de fiesta.
- Вы занимаетесь спортом?<br>- Бегаю по субботам, а по воскресеньям хожу в бассейн.	- ¿Practica algún deporte?<br>- Corro los sábados y los domingos voy a la piscina.
- Сердце вас не беспокоит?<br>- Нет, слава Богу.	- ¿No le molesta el corazón?<br>- No, gracias a Dios.
- Пульс у вас нормальный, давление нормальное. С таким здоровьем будете жить сто лет!<br>- Доктор, скажите, что же со мной случилось? В прошлый раз вы говорили, что я проживу сто двадцать лет.	- Tiene Ud. el puls normal, la tensión normal. Con una salud así vivirá cien años.<br>- Doctor, dígame, ¿qué me ha pasado? La última vez dijo que viviría ciento veinte años.
Вы когда-нибудь Бывали<br>В городе Спасибоград,<br>Где на Вежливом бульваре<br>Вежливо благодарят?	¿Ha estado alguan vez <br>En la "Ciudad de las Gracias"<br>Donde en el paseo de la Cortesía<br>Le dan las gracias con cortesía?
В переулке Гостевом<br>Зазывают в каждый дом,<br>Даже если вас не знают,<br>И никто вам не знаком!	En la calle de los Huéspedes<br>No cansan de invitarle a cada casa<br>Incluso si no le conocen<br>Y Ud. tampoco conoce a nadie
На проспекте угощения<br>Вас на славу угостят	En la avenida del convite<br>Le convidan (que da) gloria
Что вы любите? Варенье?<br>Эскимо? Халву? Печенье?<br>Или, может, лимонад?	¿Qué gusta Ud.? ¿Mermelada?<br>¿Un esquimal (helado)? ¿Una jalva? ¿Galletas?<br>¿O, quizás, limonada?
В єтом городе кругом<br>Люди говорят друг другу<br>Незнакомому и другу<br>И особенно гостям:<br>"Очень рады, рады вам!"	En esta ciudad por todas partes<br>Las gentes se dicen unos a otros<br>al desconocido y al amigo<br>y sobre todo a los huéspedes:<br>"¡Estamos muy, muy contentos de tenerlo aquí!"
- Разешите представиться, Роберт Вагнер, представитель фирмы "Рапидэко". Мне нужен господин Потапов.<br>- С приездом, господин Вагнер! Мы вас ждём.	- Permítame que me presente: Robert Wagner, representante de la empresa "Rapideco". ¿Podría hablar con el Sr. Potapov?<br>- Bienvenido, Sr. Wagner. Le esperábamos.
- Господин Потапов сейчас на месте?<br>- Извините, у него совещание у директора. Он просил вас подождатъ.	- ¿Está [en el sitio] el Sr. Potavov?<br>- Disculpe, tiene una reunión con el director. Le pide que espere un poco.
- К сожалению, у меня очень мало времени.<br>- Он будет с минуты на минуту.	- Por desgracia, tengo muy poco tiempo.<br>- Estará aquí de un momento a otro.
- Я могу его подождать здесь?<br>- Конечно, присаживайтесь вот здесь, или где вам угодно.	- ¿Puedo esperarlo aquí?<br>- Por supuesto, tome asiento aquí o donde prefiera.
- Позвольте мне посмотреть эти журналы.<br>- Это последние каталоги нашей фирмы. А вот, кажется, идёт господин Потапов.	- Permítame echar una ojeada a estas revistas.<br>- Son los últimos catálogos de nuestra empresa. Pero parece que viene el Sr. Potapov.
- Господин Вагнер! Извините, ради Бога, я опоздал.<br>- Нет, нет, вы точны, как всегда.<br>- О! Вы большой мастер говорить комплименты!	- ¡Señor Wagner! Perdóneme, por Dios, llego tarde.<br>- No, no, es Ud. puntual, como siempre.<br>- Oh, Sr. Wagner, es Ud. un maestro de decir cumplidos.
- Алло! Иван Васильевич? Я вас приветствую.<br>- А... Николай, я рад вас слышать.	- ¡Oiga! ¿Es Iván Vasilievich? ¡Buenos días! ("lo saludo").<br>- Ah, Nicolás, me alegro de oírlo.<br>
- И как вам нравится наши предложения?<br>- Я их внимательно изучил. В принципе, я не против.	- ¿Y qué le parecen nuestras propuestas?<br>- Las he estudiado a fondo. En principio, no estoy en contra.
- Мне кажется, у вас есть сомнения?<br>- Как вам сказать, кое-что надо уточнить.	- Me parece que tiene dudas.<br>- ¿Cómo decirle? Hay que precisar algunas cosas.
- Что вас смущает?<br>- Давайте лучше решим так: договоримся о встрече и всё ещё раз обсудим.	- ¿Qué le molesta?<br>- Mejor quedemos en esto: fijamos un encuentro y lo discutimos todo otra vez.
- Я - за, но когда мы можем встретиться?<br>- Завтра, например, в пятнадцать часов.	- Estoy de acuerdo, pero ¿cuándo podemos encontrarnos?<br>- Mañana, por ejemplo a las quince horas.
- У вас в бюро?<br>- Да, у меня в кабинете. Я приглашу коллег, и мы ещё раз поговорим о деталях.	- ¿En su oficina?<br>- Sí, en mi despacho. Invitaré a algunos colegas y hablaremos una vez más de los detalles.
- Полностью с вами согласен.<br>- Итак, до завтра.	- Estoy completamente de acuerdo con Ud.<br>- Entonces, hasta mañana.
- Мне нужно позвонить раньше?<br>- Нет, я вас буду ждать ровно в три часа.	- ¿Le llamo antes?<br>- No, lo esperaré a las tres en punto.
- Как вы всё успеваете?<br>- Очень просто: всё делаю вовремя. Встаю в шесть тридцать...	- ¿Cómo tiene Ud. tiempo para todo?<br>- Muy sencillo: lo hago todo a tiempo. Me levanto a las seis treinta...
- Но зачем же так рано? У вас работа начинается в десать часов.<br>- Да, но по утрам я бегаю, делаю зарядку.	- ¿Pero por qué tan temprano? Su trabajo comienza a las diez.<br>- Sí, pero por las mañanas corro, hago gimnasia.
- Господи! Каждый день?<br>- Конечно! В здоровом теле - здоровый дух. Потом холодный душ, лёгкий завтрак.	- ¡Dios mío! ¿Cada día?<br>- ¡Por supuesto! Mente sana en cuerpo sano. Después,una ducha fría y un desayuno ligero.
- А у меня всё наоборот: душ горачий, а завтрак как обед!<br>- Надо беречь здоровье: оно у нас одно. Мои дети привыкли вставать рано и бегать  вместе со мной	- Pues en mi caso es todo lo contrario: la ducha es caliente y el desayuno como un almuerzo.<br>- Hay que cuidar ("proteger") la salud: solo tenemo una. Mis hijos están acostumbrados a levantarse temprano y correr conmigo.
- А мои дочь и сын по вечерам смотрят со мной телевизор, а утром жена не может  нас поднять.<br>- Та вот... Выхожу я из дома пораньше и иду на работу пешком.	- Pues por las noches mi hija y mi hijo ven la tele conmigo, y por la mañana mi mujer no puede levantarnos.<br>- Ajá... Yo salgo de mi casa más temprano y voy al trabajo a pie.
- Всё ясно! Начинаю завтра новую жизнь. <br>- А почему завтра? Завтра - четверг, а вы начинаете новую жизнь по понедельникам.	- ¡Todo está claro! Mañana comienzo una nueva vida.<br>- ¿Y por qué mañana? Mañana es jueves, y Ud. suele comenzar la nueva vida los lunes.
- Что это мы всегда говорим о делах?  Поговорим  о чём-нибудь более приятном.<br>- Но для меня работа прежде всего.	- ¿Pero por qué hablamos siempre de trabajo? Hablemos de algo más agradable.<br>- Pero para mí el trabajo está ante todo.
- А у меня на первом месте - жена и дети.<br>- Ты у нас счастливый. У тебя жена - идеальная женщина. А у моей жены есть только один недостаток: просто ужасная память.	- Para mí en primer lugar están mi mujer y mis hijos.<br>- Es que tú eres feliz. Tu esposa es una mujer ideal. Mi mujer tiene un solo defecto: una memoria simplemente horrible.
- Как?! Она всё забывает?<br>- Нет, наоборот, всегда всё помнит.	- ¿Cómo? ¿Lo olvida todo?<br>- No, al contrario, siempre lo recuerda todo.
- Моя супруга - женщина, что надо, но любит поговорить на одну и ту же тему.<br>- А моей жене для етого совсем не нужно никакой темы.	- Mi esposa es una mujer como Dios manda, pero le gusta hablar siempre del mismo tema.<br>- La mía no necesita ningún tema para hablar ("para eso").
- Завидую я вам. Мне кажется, моя жена меня всю жизнь не понимает. А твоя, Борис?<br>- Не знаю, я никогда её не спрашивал об етом.	- Os envidio. Me parece que mi mujer no me ha comprendido nunca. ¿Y la tuya, Boris?<br>- No lo sé, no se lo he preguntado nunca.
- И всё - таки, нам повезло, друзья. Я предлагаю - за здоровье наших дам!<br>- За их здоровье! И пора домой. Нас могут не понять.	- A pesar de todo, tenemos suerte, amigos. Propongo [beber] a la salud de nuestras damas.<br>- ¡A su salud! Ya es hora de [ir] a casa. Pueden no comprendernos. 
- Что вы собираетесь делать в воскресенье?<br>- Утром прогляюсь по городу, а вечером пойду в гости.	- ¿Qué piensa hacer Ud. el domingo?<br>- Por la mañana pasearé un rato por la ciudad y por la tarde iré a casa de unos amigos.
- А может, передумаете и поедете со мной за город?<br>- С удовольствием, но мне неудобно, я уже обещал.	- ¿Puede que cambie de opinión y venga conmigo al campo?<br>- [Iría] con mucho gusto, pero sería delicado ("desagradable"), ya he prometido [ir].
- Хорошо, мы сделаем так: утром едем за город ко мне на дачу.<br>- А к вечеру мы вернёмся?	- Bueno, pues haremos así: por la mañana viene conmigo a mi dacha.<br>- ¿Y para ("hacia") la tarde volveremos?
- Приедем часов в пять.<br>- Это мне подходит.	- Volveremos sobre las cinco.<br>- Eso me va bien ("me acerca").
- Ну, вот и договорились.<br>- Значит, мы сделаем таким образом: в субботу в четыре часа я вам пазвоню и уточню время.	- Bueno, pues en eso quedamos.<br>- Entonces, haremos así: el sábado a las cuatro le llamaré y precisaré la hora.
- А может быть, мы всё решил сразу?<br>- Как вам угодно. Половина восьмого вам подходит?	- ¿Y si lo decidimos todo ahora mismo?<br>- Como quiera. ¿Le va bien a las siete y media?
- Я могу встать и пораньше.<br>- Велликолепно! Тогда ровно в семь я заеду за вами в гостиницу.<br>- Я буду ждать вас у входа.	- Puedo levantarme más temprano aun.<br>- ¡Estupendo! Entonces a las siete en punto paso al hotel a recogerlo.<br>- Lo esperaré a la entrada.
- Моя дочь мне приносит только радость.<br>- Девочки есть девочки. А мой сын чаще приносит двойки.	- Mi hija solo me trae alegrías.<br>- Las niñas son niños. Mi hijo, en cambio, me trae las más de la veces "la nota dos".
- Не обращаите внимания - Возраст.<br>- Как мне не обращать внимания? Вчера учитель истории спрашивате его: "Когда умер Александр Македонсий?"	- No le preste atención, es la edad.<br>- ¿Cómo que no le preste atención? Ayer el profesor de historia le pregunta: "¿Cuándo murió Alejandro Magno?"
- А действительно, когда? Я лично не помню.<br>- Так знаете, что он ответил: "Умер? Как жаль, а я не знал даже, что он болел".	- Sí,  efectivamente, ¿cuándo? Yo personalmente no me acuerdo.<br>- ¿Pues sabe lo que contestó?: "¿Murió? Qué pena, yo ni siquiera sabía que estuviera enfermo".
- Весьма остороумно. А я вспоминаю, как у моей дочери учительница спросила: "Катя, я не понимаю, как один человек мог сделать столько ошибок".<br>- И что же она ей отбетила?<br>- "Наталия Ивановна, я была не одна. Мне помогали мама и папа."	- ¡Muy ingenioso! Pues yo recuerdo que una profesora le preguntó a mi hija: "Katya, no entiendo cómo pudo cometer una sola persona tantos errores".<br>- ¿ Y qué le respondió ella?<br>- Natalia Ivanovna, no fui yo sola. Me ayudaron mamá y papá.
- А сегодня жена говорит сыну: "Толя, ты должен учутся музыке. Инструмент можешь выбрать сам."<br>- Предвижу ответ: гитара.<br>- Увы! Вы ошиблись. Магнитофон.	- Pues hoy mi mujer le ha dicho al chico: "Tolia, tienes que estudiar música. Puedes elegir el instrumento tú mismo.<br>- Voy a adivinar ("prever"): guitarra.<br>- ¡Qué va! Se ha equivocado. Magnetofón.
- "Мороз и солнце, удесный!"<br>- "Ещё ты дремлешь, друг прелесный...". Знаю, знаю, это Пушкин.	- "Frío y sol: ¡un día maravilloso!"<br>- "Dormitas todavía, querido amigo...". Lo conozco, lo conozco, es de Pushkin.
- Совершенно верно, Катрин, а помнишь, что дальше?<br>- Конечно, "Пора, красавица, проснись..." Я, кстати, уже почти встала, а что ты звонишь в такую рань?	- Exactamente, Catalina, ¿recuerdas cómo continúa?<br>- Naturalmente, "Ya es la hora, hermosa, despiértate..." Por cierto, yo estoy casi levantada, ¿pero por qué me llamas tan temprano?
Как! Ты забыла, мы едем кататься на лыжах/коньках. Пагода просто чудесная. По радио обещали солнце и маленький снежок.	¡Cómo! Has olvidado que vamos a esquiar/patinar. El tiempo es simplemente maravilloso. Por la radio han prometido sol y un poco de nieve.
- Насчёт солнца ваш поэт и радио правы, но вот холод ужацный!<br>- Да нет! Всего пятнадцать градусов.	- En cuanto al sol vuestro poeta y la radio tienen razón, ¡pero hace un frío horrible!<br>- ¡Qué va! Solo quince grados [bajo cero].
- Но для меня это слишком. Я люблю, когда тепло, как у нас в Англий зимой.<br>- Эх, ты! Неженка! "В зимний холод каждый молод" - говорят русские. Давай, давай быстренко одевайся, надень тёплю куртку тёплые брюки и не забудь шерстяные носки.	- Pero para mí eso es demasiado. Me gusta cuando hace calor, como en nuestra Inglaterra en invierno.<br>- ¡Cómo eres! ¡Qué alfeñique! "En el frío invernal todo el mundo es joven", dicen los rusos. ¡Venga, venga! Vístete rápido. Ponte una cazadora cálida, pantalones cálidos y no olvides los calcetines de lana.
- Может, ещё и шубу взять?<br>- Раз ты шутишь, значит, всё в порядке. Через полчаса я за тобой заеду. Будь готова.	- ¿Quizás agarro también una pelliza?<br>- Pero si estás bromeando. Eso quiere decir que todo está en orden. En media hora paso a recogerte. Estate lista.
- Николай, я еду послезавтра в Россию и хотел бы получить у тебя маленькую консультацию.<br>- Какая неожиданная новость, хотя ты уже давно собирался поехать туда. И что ты хотел знать? Чем могу, тем помогу.	- Nicolás, pasado mañana voy a Rusia y querría que me dieras algunos consejos.<br>- Qué noticia inesperada. Aunque tú hace ya tiempo que tenías intención de ir. ¿Y qué querrías saber? Te ayudaré en lo que pueda.
Дело в том, что я еду не на один день, а раньше я бывал в России, максимум пару недель, да и то всё летом.	El caso es que no voy para un día, pues antes pasé en Rusia como máximo un par de semanas, y siempre en verano.
- И надолго ты едешь? И куда?<br>- Представь себе, на год и довольно далеко - в Сибирь! Конкретно, в Иркутск.	- ¿Y para cuánto tiempo vas? ¿Y adónde?<br>- Imagínate, para un año y bastante lejos, a Siberia. Concretamente a Irkutsk.
- И конечно же, ты боишься сибирсих морозов?<br>- Ещё бы! Там, говорят, погода не дай Бог! Что зимой, что летом.	- ¿Y, naturalmente tienes miedo del frío siberiano?<br>- ¡Cómo no! Allí, según dicen, hace un tiempo que líbrenos Dios, tanto en invierno como en verano.
Это ты напрасно говоришь. Летом там тепло, даже жарко. Осенью сухо и прохладно. Весна короткая, но прекрасная.	Estás equivocado. En verano allí el tiempo es cálido, hasta caluroso. En otoño es seco y fresco. La primavera es corta, pero bonita.
- А зимой в январе, в феврале холодно. На улицу лучше не выходить?<br>- Да сказки всё это! И там живут люди и неплохо, между прочим, живут.	- Pero en invierno, en enero, en febrero hace frío. ¿Será mejor no salir de casa?<br>- ¡Si todo eso son cuentos! Allí también viven humanos y nada mal, por cierto.
- Но морозы там под сорок бивают.<br>- Бывают, и нод сорок, но зимой там сухой воздух, нет ветра. Возьми только одежду потеплее, особенно обувь. А, главное, не бойся. Там жить можно!<br>	- Pero allí la temperatura suele bajar de cuarenta.<br>- Sí, a veces baja de los cuarenta, pero en invierno el aire es seco y no hay viento. Llévate ropa más caliente y sobre todo calzado. Lo principal es que no tengas miedo. ¡Se puede vivir allí!
- Наступил так называемый "собачий холод". На улицах москвичи кричат друг другу:<br>- Просто удивительно, как холодно!	- Ha llegado el llamado "frío de perros". En las calles los moscovitas se gritan unos a otros:<br>- ¡Es simplemente sorprendente el frío que hace!
- Что же тут удивительного? Бюро прогнозов сообщает, что пришёл холодный воздух с Баренцева моря.<br>- Вот спасибо, что объяснили, а я думал, что к нам пришёл горячий аравийский воздух, и поэетому стало холодно.	- ¿Qué tiene eso de sorprendente? El servicio meteorológico anuncia que ha llegado aire frío del mar de Barentz.<br>- Gracias por la explicación, yo pensaba que nos había llegado aire caliente de Arabia y por eso había llegado el frío.
- Вот вы смеётесь, а завтра будет ещё холоднее.<br>- Не может этого быть.<br>- Уверяю вас, что обязательно будет.	- Ud. bromea, pero mañana hará más frío.<br>- Eso no puede ser.<br>- Le aseguro que será así sin falta.
Известно, что во время сильных морозов люди начинают беспричинно врать. Врут даже самые честные и правдиивые люди. Чем крепче морозы, тем крепче врут.	Se sabe que los días de frío intenso la gente empieza a mentir sin motivo. Mienten hasta las personas más honradas y leales. Cuanto más fuerte es el frío, más mienten.
Например, человек приходит в гости, долго раздевается, входит в комнату и с удовольствием объявляет: "Пятьдесят два по Реомюру".	Por ejemplo, uno va de visita, tarda mucho en quitarse el abrigo, entra en la habitación  y anuncia con satisfacción: "52 grados en la escala Réaumur".
Хозани, конечно, хочет сказать: "Что же ты в такой мороз ходишь в гости? В Такой мороз надо сидеть дома".	El anfitrión, por supuesto, quiere decir: "¿Y cómo es que con este frío vas de visita? En un frío así hay que quedarse en casa".
Но вместо этого он неожиданно говорит: "Что вы, Павел Фёдорович, гораздо холоднее. Днём было пятьдесят четыре, а сейчас, конечно, холоднее".	Pero en lugar de eso, dice inesperadamente: "Qué va, Pavel Fiodoróvich, hace mucho más frío. De día hacía 54 y ahora, por supuesto, hace más frío."
В это время приходит ещё один гость. Из коридора он радостно кричит: "Шестьдесят! Невозможно дышать, совершенно невозможно!"	Mientras tanto llega otro huésped. Desde el pasillo grita alegremente: "¡Sesenta! No se puede respirar, ¡es completamente imposible!
Все трое отлично знают, что на улице не шестьдесят, а тридцать три, и не по Реомюру, а по Цельсию.	Los tres saben perfectamente que fuera no ache sesenta, sino treinta y tres, y no en la escala Reaumur, sino en la Celsius.
Что же, пусть врут на здоровье. Может быть, им от этого делается теплее.	Pues bueno, que mientan a gusto. Puede ser que con eso entren más en calor.
Рассказывают разные истории о холодах и, конечно, кто-нибудь вспомнит о своём дедушке.	Se cuentan varias historias sobre el frío y, por supuesto, alguno se acuerda de su abuelo.
О дедушках всегда рассказывают что-нибудь интересное и геройческое.<br>Все они били здоровыми, сильными и не боялись холода.	Sobre los abuelos siempre se cuenta algo interesante y heroico.<br>Todos ellos eran sanos, fuertes y no temían al frío.
Итак, мороз, мороз! Даже трудно поверить, что есть где-то счастливые тёплые края, где, как сообщает бюро прогнозов, всего лишь десять-пятнадцать градусов ниже/выше нуля.	De todas formas, ¡el frío es el frío! Hasta es difícil creer que hay en alguna parte felices regiones cálidas donde, según dice el servicio meteorológico, solamente hace diez o quince grados bajo/sobre cero.
- Послушай, Таня, я давно хотел спросить тебя, у вас есть собака?<br>- Конечно, даже две - маленькая белая болонка и огромный пёс, правда, я не знаю, какой он породы.	- Escucha, Tania, hace tiempo que quería preguntarte: ¿tenéis perro?<br>- Naturalmente, incluso dos - un pequeño pequinés blanco y un perro enorme, que en verdad no sé de qué raza es.
- Дело в том, что мой сын просит купить ему собаку, но у нас никогда не было даже кошки.<br>- Господи! Не надо раздумывать. Конечно же, покупайте. Я считаю, для мальчика это просто необходимо.	- Es caso es que mi hijo pide que le compremos un perro pero nosotros no hemos tenido nunca ni gato.<br>- ¡Por Dios! No hay que pensárselo. Naturalmente comprádselo. Yo considero que para un chico eso es simplemente indispensable.
- Но это лишние заботы. За собакой надо ухаживать, наконец, гулять вовремя.<br>- Это же прекрасно! Помнишь, какая я была два года назад? Хмурая, вечно усталая. А, теперь... С семи до восьми я гуляю с моими собаками в парке. Вечером с девати до десяти - то же самое, и чувствую себя прекрасно.	- Pero son preocupaciones superfluas. Hay que cuidar del perro, en fin, sacarlo a pasear regularmente.<br>- ¡Si eso es maravilloso! ¿Recuerdas cómo estaba yo hace dos años? Huraña, eternamente cansada. Ahora, en cambio, de 7 a 8 paseo con mis perros. Por la noche, de 9 a 10, lo mismo, y me siento de maravilla.
- Но моя жена так любит порядок, а собака в доме?<br>- А что собака? Собака, это милое, доброе животное. Для ребёнка просто необходима собака, чтобы он был добрым и хорошим человеком.	- Pero a mi mujer le gusta tanto el orden, y ¿un perro en casa?<br>- ¿Y qué pasa con un perro? El perro es un animal amable y bueno. Para un niño es simplemente indispensable tener un perro, para que sea una persoan buena y honesta.
Всё! Ты меня убедила, завтра мы едем за собакой, тем более, что сыну через пять дней будет десять лет.	¡Basta! Me has convencido, mañana vamos a buscar un perro, tanto más que mi hijo dentro de cinco días cumplirá diez años.
Вот как это было: Принцесса была прекрасная, погода была ужасная.	Así fue todo: La princesa era hermosa, el tiempo era horrible.
Днём во втором часу заблудилась принцесса в лесу.	Durante el día en la segunda hora se perdió una princesa en el bosque.
Смотрит: полянка прекрасная, на полянке - землянка ужасная.	Mira: el prado es hermoso, en el prado hay una choza horrible.
А в землянке - людоед. <br>- Заходи-ка на обед!<br>Он хватает нож, дело ясное.	Y en la choza, un ogro.<br>- Venga, ¡entra a comer!<br>Toma un cuchillo, la cosa está clara.
Вдруг увидел, какая... прекрасная!<br>Людоеду сразу стало худо.<br>- Уходи, говорит, - отсюда. Аппетит - ужасный.	De repente vio ¡qué hermosa era!<br>El ogro en seguida se sintió mal.<br>- Vete, dice, de aquí. Mi apetito es terrible.
- Слишком вид, - говорит, - прекрасная.<br>И пошла потихоньку принцесса, прямо к замку вышла из леса.	- Eres demasiado bella, dice.<br>Y la princesa salió del bosque directamente al castillo.
Вот какая легенда ужасная!<br>А может быть, было всё наоборот???	¡Qué leyenda tan horrible!<br>¿O quizás fue todo al revés?
- Довро пожаловать в Москву, господин Смит, наконец вы прилетели. Как долетели?<br>- Спасибо, всё в порядке. Правда, были маленькие приключения. Погода в Лондоне была нелётная и мы вылетели с опозданием.	- Bienvenido a Moscú, señor Smith, por fin ha llegado. ¿Cómo fue el viaje?<br>- Todo en orden, gracias. Es verdad que he tenido pequeñas aventuras. El tiempo en Londres era inadecuado para volar, hemos salido con retraso.
- Но вы опоздали всего на час.<br>- На целый час, господин Григорьев. Я собирался прилететь несколько дней назад, но виза не была готова.	- Pero ha tenido solo una hora de retraso.<br>- Una hora entera, señor Grigoriev. Tenía la intención de venir unos días antes, pero mi visado no estaba listo.
- Приглашение мы послали вовремя на ваш факс.<br>- Кстати, господин Григорьев, огромное вам спасибо за приглашение и за предложение принять участие в вашем конгрессе.	- Le enviamos su invitación por fax a tiempo.<br>- Por cierto, sr. Grigoriev, muchísimas gracias por la invitación y por la propuesta de tomar parte en su congreso.
- Ну что вы! Ваше участие в нём большая честь для нас. А где, между прочим, ваше вещи?<br>- А вот чемодан и эта большая сумка. И ещё портфел, здесь все мой бумаги.	- ¡Pero bueno! Si su participación en él es un gran honor para nosotros. Por cierto, ¿dónde están sus cosas?<br>- Aquí está mi maleta y esta bolsa grande. Y mi cartera, donde tengo todos mis papeles.
- Кладите ваш багаж на тележку. Машина нас ждёт у входа.<br>- Я рад, что я снова в Москве. Я люблю этот город.	- Ponga su equipaje en el carrito. El coche nos espera en la entrada.<br>- Estoy contento de estar en Moscú de nuevo. Me gusta esta ciudad.
- Мне, москвичу, это слышать вдвиойне прятно.<br>- Вы слышали, по радио сообщили, что произвёл посадку самолёт из Парижа. Может быть прилетел месье Дюран?	- Para mí, que soy moscovita, es doblemente agradable oír eso.<br>- ¿Ha oído Ud.?, por la radio han anunciado que ha aterrizado el avión procedente de París. ¿Quizás ha llegado M. Durand?
Дама сдавал в багаж:<br>Диван<br>Чемодан<br>Саквояж<br>Картину<br>Корзину<br>Картонку<br>И маленькую собачонку	Una dama facturó como equipaje:<br>Un sofá<br>Una maleta<br>Una bolsa de viaje<br>Un cuadro<br>Una cesta<br>Una sombrerera<br>y una perrita pequeña
Выдали даме на станции<br>Четыре зелёных квитанций<br>О том, что получен багаж.	En la estación entregaron a la dama<br>Cuatro recibos verdes<br>De que se había recibido el equipaje.
Вещи везут на перрон,<br>Кидают в открытый вагон.<br>Готово. Уложен багаж.	Llevan las cosas al andén,<br>Las meten en un vagón abierto.<br>Listo. El equipaje está colocado.
Но только раздался звонок,<br>Удрал из вагона щенок.<br>Хватились на станции Дно:<br>Потерано место одно.	Pero en cuanto sonó el timbre,<br>saltó el cachorro del vagón.<br>Se dieron cuenta en la estación Dno:<br>Se había perdido una pieza.
Вдруг видят: стоит у колёс<br>Огромный взъерошенный лёс.<br>Поймали его - и в багаж,<br>Туда, где лежал саквояж,<br>Где прежде была собачонка.	De repente ven: junto a las ruedas hay<br>Un enorme perro desgreñado.<br>Lo agarraron y al equipaje<br>Allí, donde estaba la bolsa de viaje<br>Donde antes estaba la perrita.
Приехали в город Житомир.<br>Носильщик пятнадцатый номер<br>Везёт на тележке багаж<br>А сзади ведут собачонку.	Llegaron a la ciudad de Zhitomir.<br>El mozo número 15<br>Lleva en un carrito el equipaje<br>Y atrás conducen a una perrita.
Собака как зарычит<br>А дама как закричит:<br>- Отдайте мою собачонку!	El perro se pone a gruñir<br>Y la dama se pone a gritar:<br>- ¡Denme mi perrita!
Позвольте, гражданка! На станции,<br>Согласно бачажной квитанции,<br>От вас получили багаж<br>Маленькую собачонку	¡Con permiso, ciudadana! En la estación,<br>Según el recibo de facturación,<br>Recibieron como equipaje<br>Una perrita pequeña
